時間,餐點,飲料
2024/05/29 21:01,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 21:01,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 21:01,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 21:13,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 21:21,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 21:31,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 21:32,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 21:32,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 21:48,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 21:52,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 22:19,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 22:20,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 22:21,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 22:21,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 22:21,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 22:31,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
2024/05/29 22:56,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None,System.Windows.Forms.Panel, BorderStyle: System.Windows.Forms.BorderStyle.None
