時間,餐點,飲品
2024/05/30 23:58, 餐點,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 0
2024/05/30 23:58, 餐點,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 0
2024/05/30 23:58, 飲品,奶茶
2024/05/30 23:58, 餐點,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 0
2024/05/30 23:58, 餐點,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 0
2024/05/30 23:58, 餐點,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 0
2024/05/30 23:58, 飲品,奶茶
2024/05/30 23:58, 餐點,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 0
2024/05/30 23:58, 餐點,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 0
2024/05/30 23:58, 飲品,奶茶
2024/05/30 23:58, 餐點,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 1,System.Windows.Forms.CheckBox, CheckState: 0,System.Windows.Forms.CheckBox, CheckState: 0
2024/05/30 23:58, 飲品,奶茶
